%Vernier Format 2
%tyson-doublevolume-ptbr.cmbl 4/21/2005 18:29:17 .
%Latest
%Time	Signal 1	Signal 2
%t	Signal 1	Signal 2
%s	mV	mV
%
48.5	1185.60968822	256.682559059
48.75	1185.60968822	256.119653835
49	1184.47675805	256.682559059
49.25	1184.47675805	256.682559059
49.5	1184.47675805	256.682559059
49.75	1184.47675805	256.682559059
50	1183.91029296	257.245464283
50.25	1183.91029296	257.245464283
50.5	1183.34382788	257.808369507
50.75	1183.34382788	256.682559059
51	1182.77736279	258.371274732
51.25	1182.77736279	258.371274732
51.5	1182.77736279	258.371274732
51.75	1182.2108977	258.371274732
52	1182.2108977	258.371274732
52.25	1181.64443262	258.371274732
52.5	1181.64443262	259.49708518
52.75	1181.64443262	259.49708518
53	1181.07796753	259.49708518
53.25	1181.64443262	259.49708518
53.5	1180.51150244	260.059990404
53.75	1181.07796753	260.059990404
54	1180.51150244	260.059990404
54.25	1179.94503736	260.059990404
54.5	1179.37857227	260.059990404
54.75	1179.37857227	260.059990404
55	1179.37857227	260.622895629
55.25	1178.81210718	261.185800853
55.5	1179.37857227	260.059990404
55.75	1178.81210718	260.622895629
56	1178.2456421	260.622895629
56.25	1178.2456421	260.622895629
56.5	1177.67917701	260.622895629
56.75	1177.67917701	260.622895629
57	1177.67917701	260.622895629
57.25	1177.67917701	261.185800853
57.5	1176.54624684	261.185800853
57.75	1176.54624684	261.185800853
58	1176.54624684	261.748706077
58.25	1175.97978175	261.748706077
58.5	1175.97978175	261.185800853
58.75	1175.41331666	261.185800853
59	1175.41331666	261.185800853
59.25	1174.84685158	261.185800853
59.5	1174.28038649	261.748706077
59.75	1174.28038649	261.748706077
60	1174.28038649	261.185800853
60.25	1174.28038649	261.748706077
60.5	1173.7139214	261.748706077
60.75	1173.7139214	261.185800853
61	1172.58099123	261.748706077
61.25	1172.58099123	261.748706077
61.5	1172.58099123	261.748706077
61.75	1172.58099123	261.748706077
62	1172.01452614	262.311611301
62.25	1172.01452614	260.622895629
62.5	1171.44806106	262.311611301
62.75	1171.44806106	262.311611301
63	1170.88159597	261.748706077
63.25	1169.7486658	262.311611301
63.5	1170.88159597	262.311611301
63.75	1170.88159597	262.311611301
64	1169.7486658	262.311611301
64.25	1169.7486658	262.874516526
64.5	1169.7486658	263.43742175
64.75	1169.7486658	263.43742175
65	1169.7486658	263.43742175
65.25	1169.18220071	264.000326974
65.5	1168.61573562	263.43742175
65.75	1168.61573562	263.43742175
66	1168.04927054	263.43742175
66.25	1168.04927054	263.43742175
66.5	1167.48280545	264.000326974
66.75	1167.48280545	263.43742175
67	1166.91634036	262.874516526
67.25	1166.34987528	264.000326974
67.5	1166.34987528	263.43742175
67.75	1165.78341019	263.43742175
68	1165.78341019	263.43742175
68.25	1165.2169451	263.43742175
68.5	1164.65048002	264.000326974
68.75	1164.65048002	263.43742175
69	1164.65048002	264.000326974
69.25	1164.65048002	263.43742175
69.5	1164.65048002	263.43742175
69.75	1164.08401493	263.43742175
70	1163.51754984	263.43742175
70.25	1163.51754984	264.000326974
70.5	1164.08401493	263.43742175
70.75	1162.95108476	264.563232198
71	1162.38461967	263.43742175
71.25	1162.38461967	264.000326974
71.5	1161.81815458	262.874516526
71.75	1160.68522441	264.000326974
72	1161.81815458	264.000326974
72.25	1160.68522441	263.43742175
72.5	1160.68522441	262.874516526
72.75	1160.68522441	263.43742175
73	1160.68522441	263.43742175
73.25	1160.11875932	264.000326974
73.5	1160.68522441	263.43742175
73.75	1160.11875932	262.311611301
74	1159.55229424	264.000326974
74.25	1158.98582915	263.43742175
74.5	1158.98582915	264.563232198
74.75	1158.41936406	264.000326974
75	1158.41936406	263.43742175
75.25	1157.85289898	264.000326974
75.5	1158.41936406	263.43742175
75.75	1157.85289898	264.000326974
76	1157.85289898	264.000326974
76.25	1156.7199688	264.563232198
76.5	1156.7199688	265.126137423
76.75	1156.7199688	264.563232198
77	1156.15350372	264.000326974
77.25	1156.15350372	264.563232198
77.5	1156.15350372	264.563232198
77.75	1156.15350372	264.563232198
78	1156.15350372	264.000326974
